,DICE,FN,FP,IoU,TN,TP,n_pred,n_ref,prediction_file,reference_file,challenge_DICE,challenge_FP,challenge_FN
0,0.8956587966488957,123,151,0.8110344827586207,52158550,1176,1327,1299,/well/papiez/users/hri611/python/nnUNet_results/Dataset219_PETCT/nnUNetTrainer_1500epochs__nnUNetPlans__3d_fullres/crossval_results_folds_0_1_2_3_4/PETCT_0011f3deaf_03232003.nii.gz,/well/papiez/users/hri611/python/nnUnet_raw/Dataset219_PETCT/labelsTr/PETCT_0011f3deaf_03232003.nii.gz,0.8956587966488957,0.8335484046936035,0.0
1,0.7152648265572548,42,12172,0.5567410633278896,48772445,15341,27513,15383,/well/papiez/users/hri611/python/nnUNet_results/Dataset219_PETCT/nnUNetTrainer_1500epochs__nnUNetPlans__3d_fullres/crossval_results_folds_0_1_2_3_4/PETCT_01140d52d8_08132005.nii.gz,/well/papiez/users/hri611/python/nnUnet_raw/Dataset219_PETCT/labelsTr/PETCT_01140d52d8_08132005.nii.gz,0.7152648265572548,138.4187992630005,0.12441020965576172
2,0.7576074672470805,5403,388,0.6097971834782023,45425159,9050,9438,14453,/well/papiez/users/hri611/python/nnUNet_results/Dataset219_PETCT/nnUNetTrainer_1500epochs__nnUNetPlans__3d_fullres/crossval_results_folds_0_1_2_3_4/PETCT_0117d7f11f_09132001.nii.gz,/well/papiez/users/hri611/python/nnUnet_raw/Dataset219_PETCT/labelsTr/PETCT_0117d7f11f_09132001.nii.gz,0.7576074672470805,0.0,0.09952816772460937
3,0.0,0,551,0.0,46079449,0,551,0,/well/papiez/users/hri611/python/nnUNet_results/Dataset219_PETCT/nnUNetTrainer_1500epochs__nnUNetPlans__3d_fullres/crossval_results_folds_0_1_2_3_4/PETCT_0143bab87a_07172005.nii.gz,/well/papiez/users/hri611/python/nnUnet_raw/Dataset219_PETCT/labelsTr/PETCT_0143bab87a_07172005.nii.gz,0.0,6.85500255203247,0.0
4,0.6518734902533565,5991,206,0.4835402950245854,52148001,5802,6008,11793,/well/papiez/users/hri611/python/nnUNet_results/Dataset219_PETCT/nnUNetTrainer_1500epochs__nnUNetPlans__3d_fullres/crossval_results_folds_0_1_2_3_4/PETCT_01682f60c3_03112002.nii.gz,/well/papiez/users/hri611/python/nnUnet_raw/Dataset219_PETCT/labelsTr/PETCT_01682f60c3_03112002.nii.gz,0.6518734902533565,0.037323062896728515,13.448743663787841
5,0.485321289262985,1860,3154,0.32041203578205474,52152622,2364,5518,4224,/well/papiez/users/hri611/python/nnUNet_results/Dataset219_PETCT/nnUNetTrainer_1500epochs__nnUNetPlans__3d_fullres/crossval_results_folds_0_1_2_3_4/PETCT_0168f65af8_04042003.nii.gz,/well/papiez/users/hri611/python/nnUnet_raw/Dataset219_PETCT/labelsTr/PETCT_0168f65af8_04042003.nii.gz,0.485321289262985,0.037323062896728515,11.79408787536621
6,0.7,1,5,0.5384615384615384,99039987,7,12,8,/well/papiez/users/hri611/python/nnUNet_results/Dataset219_PETCT/nnUNetTrainer_1500epochs__nnUNetPlans__3d_fullres/crossval_results_folds_0_1_2_3_4/PETCT_0223010e46_09042003.nii.gz,/well/papiez/users/hri611/python/nnUnet_raw/Dataset219_PETCT/labelsTr/PETCT_0223010e46_09042003.nii.gz,0.7,0.0,0.012441020965576172
7,,0,0,,37120000,0,0,0,/well/papiez/users/hri611/python/nnUNet_results/Dataset219_PETCT/nnUNetTrainer_1500epochs__nnUNetPlans__3d_fullres/crossval_results_folds_0_1_2_3_4/PETCT_0225325b91_08222005.nii.gz,/well/papiez/users/hri611/python/nnUnet_raw/Dataset219_PETCT/labelsTr/PETCT_0225325b91_08222005.nii.gz,,0.0,0.0
8,0.0,0,2515,0.0,45437485,0,2515,0,/well/papiez/users/hri611/python/nnUNet_results/Dataset219_PETCT/nnUNetTrainer_1500epochs__nnUNetPlans__3d_fullres/crossval_results_folds_0_1_2_3_4/PETCT_0410759456_08222003.nii.gz,/well/papiez/users/hri611/python/nnUnet_raw/Dataset219_PETCT/labelsTr/PETCT_0410759456_08222003.nii.gz,0.0,31.289167728424072,0.0
9,,0,0,,45440000,0,0,0,/well/papiez/users/hri611/python/nnUNet_results/Dataset219_PETCT/nnUNetTrainer_1500epochs__nnUNetPlans__3d_fullres/crossval_results_folds_0_1_2_3_4/PETCT_0410759456_11072002.nii.gz,/well/papiez/users/hri611/python/nnUnet_raw/Dataset219_PETCT/labelsTr/PETCT_0410759456_11072002.nii.gz,,0.0,0.0
